window_seconds,stride_seconds,task,class_id,class_name,count,percentage_of_valid
2.0,1.0,y_classify_fall,0,Backward,477,29.66417910447761
2.0,1.0,y_classify_fall,1,Frontal,713,44.340796019900495
2.0,1.0,y_classify_fall,2,Lateral-left,48,2.985074626865672
2.0,1.0,y_classify_fall,3,Lateral-right,370,23.00995024875622
2.0,1.0,y_classify_movement,0,Walking,3960,20.05977407426169
2.0,1.0,y_classify_movement,1,Sweeping,6190,31.356060989818143
2.0,1.0,y_classify_movement,2,Running,6053,30.66207385644091
2.0,1.0,y_classify_movement,3,Jumping,2689,13.621397092345878
2.0,1.0,y_classify_movement,4,Crawling,849,4.300693987133378
2.0,1.0,y_classify_posture,0,Standing,5331,42.53231211105792
2.0,1.0,y_classify_posture,1,Sitting,457,3.646082655177916
2.0,1.0,y_classify_posture,2,Kneeling,1392,11.105792245093346
2.0,1.0,y_classify_posture,3,Down/Prone,5354,42.71581298867081
2.0,1.0,y_classify_transition,0,To-kneeling,153,28.92249527410208
2.0,1.0,y_classify_transition,1,To-prone,175,33.0812854442344
2.0,1.0,y_classify_transition,2,Sit/stand,201,37.996219281663514
2.0,1.0,y_complete,0,0,477,1.3861443682436358
2.0,1.0,y_complete,1,1,849,2.467162617691503
2.0,1.0,y_complete,2,2,94,0.2731605253981169
2.0,1.0,y_complete,3,3,530,1.5401604091595955
2.0,1.0,y_complete,4,4,793,2.3044286876670927
2.0,1.0,y_complete,5,5,1997,5.80320818319191
2.0,1.0,y_complete,6,6,1574,4.5739858189003835
2.0,1.0,y_complete,7,7,713,2.0719516447750785
2.0,1.0,y_complete,8,8,1254,3.6440776473323258
2.0,1.0,y_complete,9,9,1015,2.949552481692433
2.0,1.0,y_complete,10,10,420,1.2205044751830756
2.0,1.0,y_complete,11,11,1392,4.045100546321051
2.0,1.0,y_complete,12,12,48,0.13948622573520864
2.0,1.0,y_complete,13,13,370,1.0752063233755667
2.0,1.0,y_complete,14,14,1940,5.63756829013135
2.0,1.0,y_complete,15,15,1223,3.55399279321167
2.0,1.0,y_complete,16,16,1104,3.2081831919097987
2.0,1.0,y_complete,17,17,664,1.9295594560037197
2.0,1.0,y_complete,18,18,49,0.14239218877135884
2.0,1.0,y_complete,19,19,68,0.19760548645821224
2.0,1.0,y_complete,20,20,1313,3.8155294664651866
2.0,1.0,y_complete,21,21,1073,3.118098337789143
2.0,1.0,y_complete,22,22,676,1.9644310124375217
2.0,1.0,y_complete,23,23,218,0.6334999418807393
2.0,1.0,y_complete,24,24,239,0.6945251656398931
2.0,1.0,y_complete,25,25,51,0.1482041148436592
2.0,1.0,y_complete,26,26,55,0.1598279669882599
2.0,1.0,y_complete,27,27,2722,7.91003138440079
2.0,1.0,y_complete,28,28,50,0.14529815180750902
2.0,1.0,y_complete,29,29,54,0.15692200395210973
2.0,1.0,y_complete,30,30,2609,7.58165756131582
2.0,1.0,y_complete,31,31,55,0.1598279669882599
2.0,1.0,y_complete,32,32,40,0.1162385214460072
2.0,1.0,y_complete,33,33,2160,6.276880158084389
2.0,1.0,y_complete,34,34,319,0.9270022085319075
